,200000_201500_baseline_last,200000_201500_baseline_avg(t=2),200000_201500_baseline_static_value(-0.03),200100_201600_baseline_last,200100_201600_baseline_avg(t=3),200100_201600_baseline_static_value(-0.02),200200_201700_baseline_last,200200_201700_baseline_avg(t=4),200200_201700_baseline_static_value(-0.02),200300_201800_baseline_last,200300_201800_baseline_avg(t=4),200300_201800_baseline_static_value(-0.02),200400_201900_baseline_last,200400_201900_baseline_avg(t=4),200400_201900_baseline_static_value(-0.03),200500_202000_baseline_last,200500_202000_baseline_avg(t=4),200500_202000_baseline_static_value(-0.01)
columns,baseline_last,baseline_avg(t=2),baseline_static_value(-0.03),baseline_last,baseline_avg(t=3),baseline_static_value(-0.02),baseline_last,baseline_avg(t=4),baseline_static_value(-0.02),baseline_last,baseline_avg(t=4),baseline_static_value(-0.02),baseline_last,baseline_avg(t=4),baseline_static_value(-0.03),baseline_last,baseline_avg(t=4),baseline_static_value(-0.01)
huber_loss,0.061968933790922165,0.053872790187597275,0.027832161635160446,0.10791335999965668,0.09647775441408157,0.0787716805934906,0.16427123546600342,0.1080181896686554,0.08580590784549713,0.1362069994211197,0.08103515207767487,0.04528573527932167,0.163898304104805,0.1508885771036148,0.11560696363449097,0.18782982230186462,0.14215458929538727,0.09707902371883392
loss,0.1416042447090149,0.13018710911273956,0.08217793703079224,0.19673310220241547,0.18564976751804352,0.1453934609889984,0.2619849443435669,0.20000502467155457,0.15474365651607513,0.2346748262643814,0.17330384254455566,0.11385640501976013,0.2705134451389313,0.25610607862472534,0.19903384149074554,0.29927730560302734,0.23996077477931976,0.1719689667224884
mean_absolute_error,0.1416042447090149,0.13018710911273956,0.08217793703079224,0.19673310220241547,0.18564976751804352,0.1453934609889984,0.2619849443435669,0.20000502467155457,0.15474365651607513,0.2346748262643814,0.17330384254455566,0.11385640501976013,0.2705134451389313,0.25610607862472534,0.19903384149074554,0.29927730560302734,0.23996077477931976,0.1719689667224884
mean_absolute_percentage_error,544.6712646484375,395.216064453125,228.36570739746094,694.9655151367188,718.870849609375,423.7421569824219,875.6787719726562,721.1580200195312,348.6524353027344,607.8746948242188,647.2091064453125,199.86175537109375,618.7382202148438,489.34381103515625,383.4080505371094,494.4818420410156,320.00830078125,129.77798461914062
mean_directional_accuracy,0.7126653790473938,0.7013232707977295,0.7958412170410156,0.6672828197479248,0.6617375016212463,0.7781885266304016,0.6323268413543701,0.6358792185783386,0.721136748790741,0.6430976390838623,0.6414141654968262,0.7255892157554626,0.6170212626457214,0.600654661655426,0.621931254863739,0.5472370982170105,0.5971479415893555,0.7486631274223328
mean_squared_error,0.2790796160697937,0.20028486847877502,0.08978504687547684,0.8152962327003479,0.7631160616874695,0.7233380079269409,1.5790725946426392,0.9071388840675354,0.8523063659667969,1.0861334800720215,0.3031749129295349,0.18145591020584106,1.5775502920150757,1.4790910482406616,1.3708608150482178,1.8375307321548462,0.9962693452835083,0.8210880756378174
mean_squared_logarithmic_error,0.01931401900947094,0.021077439188957214,0.010756376199424267,0.027063120156526566,0.022076325491070747,0.01593204028904438,0.04231559485197067,0.028296854346990585,0.024120401591062546,0.04509354755282402,0.026962030678987503,0.01884707249701023,0.0479927733540535,0.03665272891521454,0.028306176885962486,0.04792288318276405,0.04312100633978844,0.03458332642912865
time_step,200000_201500,200000_201500,200000_201500,200100_201600,200100_201600,200100_201600,200200_201700,200200_201700,200200_201700,200300_201800,200300_201800,200300_201800,200400_201900,200400_201900,200400_201900,200500_202000,200500_202000,200500_202000
